"Label (Grouping)","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","Adams County, Washington!!Estimate","Adams County, Washington!!Margin of Error","Adams County, Washington!!Percent","Adams County, Washington!!Percent Margin of Error","Asotin County, Washington!!Estimate","Asotin County, Washington!!Margin of Error","Asotin County, Washington!!Percent","Asotin County, Washington!!Percent Margin of Error","Benton County, Washington!!Estimate","Benton County, Washington!!Margin of Error","Benton County, Washington!!Percent","Benton County, Washington!!Percent Margin of Error","Chelan County, Washington!!Estimate","Chelan County, Washington!!Margin of Error","Chelan County, Washington!!Percent","Chelan County, Washington!!Percent Margin of Error","Clallam County, Washington!!Estimate","Clallam County, Washington!!Margin of Error","Clallam County, Washington!!Percent","Clallam County, Washington!!Percent Margin of Error","Clark County, Washington!!Estimate","Clark County, Washington!!Margin of Error","Clark County, Washington!!Percent","Clark County, Washington!!Percent Margin of Error","Columbia County, Washington!!Estimate","Columbia County, Washington!!Margin of Error","Columbia County, Washington!!Percent","Columbia County, Washington!!Percent Margin of Error","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Margin of Error","Cowlitz County, Washington!!Percent","Cowlitz County, Washington!!Percent Margin of Error","Douglas County, Washington!!Estimate","Douglas County, Washington!!Margin of Error","Douglas County, Washington!!Percent","Douglas County, Washington!!Percent Margin of Error","Ferry County, Washington!!Estimate","Ferry County, Washington!!Margin of Error","Ferry County, Washington!!Percent","Ferry County, Washington!!Percent Margin of Error","Franklin County, Washington!!Estimate","Franklin County, Washington!!Margin of Error","Franklin County, Washington!!Percent","Franklin County, Washington!!Percent Margin of Error","Garfield County, Washington!!Estimate","Garfield County, Washington!!Margin of Error","Garfield County, Washington!!Percent","Garfield County, Washington!!Percent Margin of Error","Grant County, Washington!!Estimate","Grant County, Washington!!Margin of Error","Grant County, Washington!!Percent","Grant County, Washington!!Percent Margin of Error","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Margin of Error","Grays Harbor County, Washington!!Percent","Grays Harbor County, Washington!!Percent Margin of Error","Island County, Washington!!Estimate","Island County, Washington!!Margin of Error","Island County, Washington!!Percent","Island County, Washington!!Percent Margin of Error","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Margin of Error","Jefferson County, Washington!!Percent","Jefferson County, Washington!!Percent Margin of Error","King County, Washington!!Estimate","King County, Washington!!Margin of Error","King County, Washington!!Percent","King County, Washington!!Percent Margin of Error","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Margin of Error","Kitsap County, Washington!!Percent","Kitsap County, Washington!!Percent Margin of Error","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Margin of Error","Kittitas County, Washington!!Percent","Kittitas County, Washington!!Percent Margin of Error","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Margin of Error","Klickitat County, Washington!!Percent","Klickitat County, Washington!!Percent Margin of Error","Lewis County, Washington!!Estimate","Lewis County, Washington!!Margin of Error","Lewis County, Washington!!Percent","Lewis County, Washington!!Percent Margin of Error","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Margin of Error","Lincoln County, Washington!!Percent","Lincoln County, Washington!!Percent Margin of Error","Mason County, Washington!!Estimate","Mason County, Washington!!Margin of Error","Mason County, Washington!!Percent","Mason County, Washington!!Percent Margin of Error","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Margin of Error","Okanogan County, Washington!!Percent","Okanogan County, Washington!!Percent Margin of Error","Pacific County, Washington!!Estimate","Pacific County, Washington!!Margin of Error","Pacific County, Washington!!Percent","Pacific County, Washington!!Percent Margin of Error","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Margin of Error","Pend Oreille County, Washington!!Percent","Pend Oreille County, Washington!!Percent Margin of Error","Pierce County, Washington!!Estimate","Pierce County, Washington!!Margin of Error","Pierce County, Washington!!Percent","Pierce County, Washington!!Percent Margin of Error","San Juan County, Washington!!Estimate","San Juan County, Washington!!Margin of Error","San Juan County, Washington!!Percent","San Juan County, Washington!!Percent Margin of Error","Skagit County, Washington!!Estimate","Skagit County, Washington!!Margin of Error","Skagit County, Washington!!Percent","Skagit County, Washington!!Percent Margin of Error","Skamania County, Washington!!Estimate","Skamania County, Washington!!Margin of Error","Skamania County, Washington!!Percent","Skamania County, Washington!!Percent Margin of Error","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Margin of Error","Snohomish County, Washington!!Percent","Snohomish County, Washington!!Percent Margin of Error","Spokane County, Washington!!Estimate","Spokane County, Washington!!Margin of Error","Spokane County, Washington!!Percent","Spokane County, Washington!!Percent Margin of Error","Stevens County, Washington!!Estimate","Stevens County, Washington!!Margin of Error","Stevens County, Washington!!Percent","Stevens County, Washington!!Percent Margin of Error","Thurston County, Washington!!Estimate","Thurston County, Washington!!Margin of Error","Thurston County, Washington!!Percent","Thurston County, Washington!!Percent Margin of Error","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Margin of Error","Wahkiakum County, Washington!!Percent","Wahkiakum County, Washington!!Percent Margin of Error","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Margin of Error","Walla Walla County, Washington!!Percent","Walla Walla County, Washington!!Percent Margin of Error","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Margin of Error","Whatcom County, Washington!!Percent","Whatcom County, Washington!!Percent Margin of Error","Whitman County, Washington!!Estimate","Whitman County, Washington!!Margin of Error","Whitman County, Washington!!Percent","Whitman County, Washington!!Percent Margin of Error","Yakima County, Washington!!Estimate","Yakima County, Washington!!Margin of Error","Yakima County, Washington!!Percent","Yakima County, Washington!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","2,979,272","±5,779","2,979,272","(X)","6,304","±153","6,304","(X)","9,499","±188","9,499","(X)","75,509","±632","75,509","(X)","30,414","±532","30,414","(X)","34,128","±508","34,128","(X)","188,863","±754","188,863","(X)","1,804","±112","1,804","(X)","43,167","±390","43,167","(X)","15,474","±289","15,474","(X)","3,025","±145","3,025","(X)","28,350","±353","28,350","(X)","1,009","±92","1,009","(X)","33,666","±507","33,666","(X)","29,542","±582","29,542","(X)","35,498","±563","35,498","(X)","15,859","±450","15,859","(X)","916,270","±2,532","916,270","(X)","106,031","±794","106,031","(X)","19,250","±409","19,250","(X)","9,618","±209","9,618","(X)","31,511","±453","31,511","(X)","4,532","±163","4,532","(X)","25,488","±601","25,488","(X)","17,005","±414","17,005","(X)","10,689","±401","10,689","(X)","5,737","±231","5,737","(X)","341,783","±1,204","341,783","(X)","8,654","±168","8,654","(X)","50,824","±490","50,824","(X)","4,812","±134","4,812","(X)","307,643","±1,091","307,643","(X)","213,524","±1,005","213,524","(X)","18,471","±319","18,471","(X)","115,695","±728","115,695","(X)","1,954","±106","1,954","(X)","22,978","±393","22,978","(X)","91,171","±789","91,171","(X)","17,963","±406","17,963","(X)","85,558","±555","85,558","(X)"
"        Married-couple household","1,482,230","±8,304","49.8%","±0.2","3,509","±262","55.7%","±4.0","4,180","±318","44.0%","±3.3","38,742","±965","51.3%","±1.3","15,128","±672","49.7%","±2.0","16,484","±623","48.3%","±1.7","99,825","±1,729","52.9%","±0.9","899","±102","49.8%","±5.7","20,848","±737","48.3%","±1.7","8,529","±448","55.1%","±2.9","1,379","±163","45.6%","±5.2","15,346","±761","54.1%","±2.8","624","±80","61.8%","±7.7","16,572","±746","49.2%","±2.2","13,736","±735","46.5%","±2.2","20,194","±652","56.9%","±1.7","7,829","±589","49.4%","±3.2","429,956","±3,768","46.9%","±0.4","57,104","±1,287","53.9%","±1.3","9,020","±485","46.9%","±2.4","4,797","±355","49.9%","±3.7","15,568","±625","49.4%","±1.9","2,670","±169","58.9%","±3.3","13,016","±654","51.1%","±2.4","8,538","±475","50.2%","±2.7","4,990","±390","46.7%","±3.3","2,883","±245","50.3%","±3.8","173,738","±2,606","50.8%","±0.7","4,507","±179","52.1%","±2.0","26,861","±675","52.9%","±1.3","2,606","±182","54.2%","±3.9","167,010","±2,348","54.3%","±0.8","99,917","±1,697","46.8%","±0.8","10,397","±428","56.3%","±2.3","59,073","±1,455","51.1%","±1.2","1,185","±111","60.6%","±6.0","11,402","±549","49.6%","±2.4","43,780","±1,544","48.0%","±1.6","7,021","±381","39.1%","±2.2","42,367","±1,191","49.5%","±1.4"
"            With children of the householder under 18 years","588,901","±6,128","19.8%","±0.2","1,679","±291","26.6%","±4.4","1,264","±204","13.3%","±2.1","15,458","±707","20.5%","±0.9","5,826","±511","19.2%","±1.6","3,814","±340","11.2%","±1.0","40,230","±1,153","21.3%","±0.6","218","±55","12.1%","±3.0","6,540","±540","15.2%","±1.2","3,553","±385","23.0%","±2.5","248","±68","8.2%","±2.2","7,339","±570","25.9%","±2.0","221","±58","21.9%","±6.1","7,154","±564","21.2%","±1.6","3,843","±405","13.0%","±1.3","6,047","±424","17.0%","±1.1","1,400","±277","8.8%","±1.7","186,185","±3,130","20.3%","±0.3","20,192","±918","19.0%","±0.9","3,176","±310","16.5%","±1.5","1,314","±209","13.7%","±2.2","5,104","±443","16.2%","±1.3","716","±97","15.8%","±2.0","3,690","±379","14.5%","±1.5","2,832","±320","16.7%","±1.8","1,143","±181","10.7%","±1.7","765","±113","13.3%","±1.9","71,514","±1,592","20.9%","±0.5","953","±90","11.0%","±1.0","8,903","±459","17.5%","±0.8","649","±96","13.5%","±2.0","72,673","±1,722","23.6%","±0.6","38,330","±1,355","18.0%","±0.6","2,784","±234","15.1%","±1.3","22,086","±1,000","19.1%","±0.8","280","±53","14.3%","±2.8","4,091","±463","17.8%","±2.0","16,215","±871","17.8%","±0.9","2,708","±259","15.1%","±1.4","17,764","±985","20.8%","±1.2"
"        Cohabiting couple household","251,755","±4,088","8.5%","±0.1","500","±161","7.9%","±2.5","876","±239","9.2%","±2.5","6,063","±708","8.0%","±0.9","2,395","±431","7.9%","±1.4","2,549","±330","7.5%","±1.0","15,585","±1,017","8.3%","±0.5","112","±58","6.2%","±3.2","4,271","±529","9.9%","±1.2","1,345","±327","8.7%","±2.1","209","±68","6.9%","±2.2","2,846","±427","10.0%","±1.5","22","±23","2.2%","±2.3","3,442","±520","10.2%","±1.5","2,616","±357","8.9%","±1.2","2,109","±306","5.9%","±0.9","1,036","±216","6.5%","±1.4","76,649","±2,562","8.4%","±0.3","8,007","±720","7.6%","±0.7","1,706","±368","8.9%","±1.8","708","±238","7.4%","±2.4","2,837","±403","9.0%","±1.3","270","±79","6.0%","±1.7","2,593","±430","10.2%","±1.6","1,269","±293","7.5%","±1.7","898","±215","8.4%","±2.0","457","±110","8.0%","±1.9","31,159","±1,577","9.1%","±0.5","635","±90","7.3%","±1.0","4,214","±476","8.3%","±0.9","313","±82","6.5%","±1.7","25,985","±1,278","8.4%","±0.4","17,685","±1,133","8.3%","±0.5","1,179","±219","6.4%","±1.2","9,912","±910","8.6%","±0.8","91","±58","4.7%","±2.9","1,425","±241","6.2%","±1.0","8,396","±974","9.2%","±1.1","1,532","±341","8.5%","±1.9","7,859","±693","9.2%","±0.8"
"            With children of the householder under 18 years","75,364","±2,288","2.5%","±0.1","349","±126","5.5%","±2.0","238","±94","2.5%","±1.0","2,736","±510","3.6%","±0.7","804","±227","2.6%","±0.7","901","±185","2.6%","±0.5","4,537","±505","2.4%","±0.3","37","±29","2.1%","±1.6","1,774","±372","4.1%","±0.9","545","±207","3.5%","±1.3","57","±28","1.9%","±0.9","1,760","±349","6.2%","±1.2","22","±23","2.2%","±2.3","1,805","±374","5.4%","±1.1","1,021","±237","3.5%","±0.8","599","±185","1.7%","±0.5","194","±96","1.2%","±0.6","14,009","±1,056","1.5%","±0.1","2,761","±447","2.6%","±0.4","228","±114","1.2%","±0.6","155","±107","1.6%","±1.1","1,092","±251","3.5%","±0.8","100","±57","2.2%","±1.3","877","±273","3.4%","±1.1","475","±189","2.8%","±1.1","353","±104","3.3%","±0.9","82","±44","1.4%","±0.8","11,139","±758","3.3%","±0.2","172","±46","2.0%","±0.5","1,722","±331","3.4%","±0.6","41","±29","0.9%","±0.6","8,071","±755","2.6%","±0.2","5,805","±742","2.7%","±0.3","505","±140","2.7%","±0.8","3,284","±523","2.8%","±0.5","6","±10","0.3%","±0.5","509","±163","2.2%","±0.7","1,902","±477","2.1%","±0.5","263","±131","1.5%","±0.7","4,434","±515","5.2%","±0.6"
"        Male householder, no spouse/partner present","540,118","±4,132","18.1%","±0.1","857","±147","13.6%","±2.3","1,731","±241","18.2%","±2.4","12,073","±702","16.0%","±0.9","5,144","±443","16.9%","±1.5","6,258","±456","18.3%","±1.3","29,617","±1,255","15.7%","±0.7","328","±87","18.2%","±4.6","7,716","±552","17.9%","±1.3","2,046","±307","13.2%","±1.9","627","±112","20.7%","±3.4","3,926","±565","13.8%","±1.9","175","±79","17.3%","±7.3","6,129","±490","18.2%","±1.4","5,716","±466","19.3%","±1.6","5,423","±484","15.3%","±1.3","2,746","±359","17.3%","±2.2","190,865","±2,836","20.8%","±0.3","18,771","±931","17.7%","±0.8","3,880","±344","20.2%","±1.8","1,935","±285","20.1%","±2.9","5,856","±454","18.6%","±1.4","687","±96","15.2%","±2.0","4,761","±497","18.7%","±1.9","3,346","±336","19.7%","±1.9","1,999","±261","18.7%","±2.4","1,051","±162","18.3%","±2.7","56,645","±1,672","16.6%","±0.5","1,455","±122","16.8%","±1.4","8,329","±495","16.4%","±1.0","897","±131","18.6%","±2.5","49,388","±1,569","16.1%","±0.5","39,387","±1,090","18.4%","±0.5","3,338","±339","18.1%","±1.8","18,109","±924","15.7%","±0.8","343","±83","17.6%","±3.9","3,556","±355","15.5%","±1.5","16,104","±897","17.7%","±1.0","5,057","±374","28.2%","±1.8","13,847","±691","16.2%","±0.8"
"            With children of the householder under 18 years","37,133","±1,601","1.2%","±0.1","46","±34","0.7%","±0.5","189","±151","2.0%","±1.6","1,114","±269","1.5%","±0.4","352","±143","1.2%","±0.5","371","±147","1.1%","±0.4","2,723","±416","1.4%","±0.2","54","±54","3.0%","±3.0","751","±205","1.7%","±0.5","206","±105","1.3%","±0.7","73","±42","2.4%","±1.4","430","±157","1.5%","±0.5","4","±6","0.4%","±0.6","517","±176","1.5%","±0.5","365","±133","1.2%","±0.4","360","±215","1.0%","±0.6","44","±35","0.3%","±0.2","9,152","±884","1.0%","±0.1","1,807","±367","1.7%","±0.3","201","±99","1.0%","±0.5","119","±127","1.2%","±1.3","452","±117","1.4%","±0.4","41","±29","0.9%","±0.6","275","±135","1.1%","±0.5","371","±128","2.2%","±0.7","278","±112","2.6%","±1.0","80","±64","1.4%","±1.1","4,961","±706","1.5%","±0.2","63","±29","0.7%","±0.3","454","±146","0.9%","±0.3","96","±58","2.0%","±1.2","3,634","±558","1.2%","±0.2","3,116","±470","1.5%","±0.2","108","±62","0.6%","±0.3","1,423","±309","1.2%","±0.3","0","±13","0.0%","±1.9","329","±146","1.4%","±0.6","1,110","±317","1.2%","±0.4","262","±153","1.5%","±0.8","1,202","±289","1.4%","±0.3"
"            Householder living alone","380,353","±3,585","12.8%","±0.1","652","±152","10.3%","±2.4","1,243","±185","13.1%","±1.9","8,921","±569","11.8%","±0.7","3,747","±425","12.3%","±1.4","4,845","±431","14.2%","±1.3","19,387","±978","10.3%","±0.5","204","±91","11.3%","±4.9","5,695","±462","13.2%","±1.1","1,353","±238","8.7%","±1.5","495","±103","16.4%","±3.2","2,447","±479","8.6%","±1.7","168","±78","16.7%","±7.2","4,193","±431","12.5%","±1.2","4,410","±440","14.9%","±1.5","4,144","±407","11.7%","±1.1","2,242","±345","14.1%","±2.1","139,518","±2,327","15.2%","±0.3","12,440","±794","11.7%","±0.7","2,400","±331","12.5%","±1.7","1,614","±281","16.8%","±2.9","3,862","±371","12.3%","±1.2","599","±93","13.2%","±2.0","3,267","±407","12.8%","±1.6","2,371","±281","13.9%","±1.6","1,457","±237","13.6%","±2.2","634","±120","11.1%","±2.1","38,150","±1,479","11.2%","±0.4","1,214","±111","14.0%","±1.3","6,126","±391","12.1%","±0.7","619","±127","12.9%","±2.5","32,284","±1,391","10.5%","±0.5","28,411","±1,063","13.3%","±0.5","2,576","±328","13.9%","±1.7","12,348","±922","10.7%","±0.8","277","±77","14.2%","±3.7","2,561","±323","11.1%","±1.4","10,820","±788","11.9%","±0.8","3,518","±327","19.6%","±1.7","9,141","±610","10.7%","±0.7"
"                65 years and over","107,345","±2,397","3.6%","±0.1","268","±87","4.3%","±1.4","477","±120","5.0%","±1.2","2,752","±377","3.6%","±0.5","1,359","±252","4.5%","±0.8","2,133","±290","6.3%","±0.9","5,901","±475","3.1%","±0.3","75","±44","4.2%","±2.5","2,206","±308","5.1%","±0.7","637","±142","4.1%","±0.9","338","±94","11.2%","±3.1","788","±207","2.8%","±0.7","107","±51","10.6%","±4.7","1,330","±249","4.0%","±0.7","1,879","±315","6.4%","±1.1","1,665","±318","4.7%","±0.9","1,224","±257","7.7%","±1.6","26,971","±1,229","2.9%","±0.1","4,110","±456","3.9%","±0.4","794","±162","4.1%","±0.8","754","±193","7.8%","±2.0","1,773","±254","5.6%","±0.8","243","±54","5.4%","±1.2","1,338","±271","5.2%","±1.1","1,105","±170","6.5%","±1.0","809","±165","7.6%","±1.6","296","±81","5.2%","±1.4","9,971","±631","2.9%","±0.2","541","±72","6.3%","±0.8","2,528","±254","5.0%","±0.5","290","±67","6.0%","±1.3","9,662","±760","3.1%","±0.2","9,383","±669","4.4%","±0.3","1,108","±234","6.0%","±1.2","3,673","±400","3.2%","±0.3","182","±57","9.3%","±2.8","950","±201","4.1%","±0.9","3,894","±456","4.3%","±0.5","560","±98","3.1%","±0.5","3,271","±424","3.8%","±0.5"
