"Label (Grouping)","Washington!!Estimate","Washington!!Percent","Adams County, Washington!!Estimate","Adams County, Washington!!Percent","Asotin County, Washington!!Estimate","Asotin County, Washington!!Percent","Benton County, Washington!!Estimate","Benton County, Washington!!Percent","Chelan County, Washington!!Estimate","Chelan County, Washington!!Percent","Clallam County, Washington!!Estimate","Clallam County, Washington!!Percent","Clark County, Washington!!Estimate","Clark County, Washington!!Percent","Columbia County, Washington!!Estimate","Columbia County, Washington!!Percent","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Percent","Douglas County, Washington!!Estimate","Douglas County, Washington!!Percent","Ferry County, Washington!!Estimate","Ferry County, Washington!!Percent","Franklin County, Washington!!Estimate","Franklin County, Washington!!Percent","Garfield County, Washington!!Estimate","Garfield County, Washington!!Percent","Grant County, Washington!!Estimate","Grant County, Washington!!Percent","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Percent","Island County, Washington!!Estimate","Island County, Washington!!Percent","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Percent","King County, Washington!!Estimate","King County, Washington!!Percent","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Percent","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Percent","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Percent","Lewis County, Washington!!Estimate","Lewis County, Washington!!Percent","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Percent","Mason County, Washington!!Estimate","Mason County, Washington!!Percent","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Percent","Pacific County, Washington!!Estimate","Pacific County, Washington!!Percent","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Percent","Pierce County, Washington!!Estimate","Pierce County, Washington!!Percent","San Juan County, Washington!!Estimate","San Juan County, Washington!!Percent","Skagit County, Washington!!Estimate","Skagit County, Washington!!Percent","Skamania County, Washington!!Estimate","Skamania County, Washington!!Percent","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Percent","Spokane County, Washington!!Estimate","Spokane County, Washington!!Percent","Stevens County, Washington!!Estimate","Stevens County, Washington!!Percent","Thurston County, Washington!!Estimate","Thurston County, Washington!!Percent","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Percent","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Percent","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Percent","Whitman County, Washington!!Estimate","Whitman County, Washington!!Percent","Yakima County, Washington!!Estimate","Yakima County, Washington!!Percent"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","2,979,272","2,979,272","6,304","6,304","9,499","9,499","75,509","75,509","30,414","30,414","34,128","34,128","188,863","188,863","1,804","1,804","43,167","43,167","15,474","15,474","3,025","3,025","28,350","28,350","1,009","1,009","33,666","33,666","29,542","29,542","35,498","35,498","15,859","15,859","916,270","916,270","106,031","106,031","19,250","19,250","9,618","9,618","31,511","31,511","4,532","4,532","25,488","25,488","17,005","17,005","10,689","10,689","5,737","5,737","341,783","341,783","8,654","8,654","50,824","50,824","4,812","4,812","307,643","307,643","213,524","213,524","18,471","18,471","115,695","115,695","1,954","1,954","22,978","22,978","91,171","91,171","17,963","17,963","85,558","85,558"
"        Married-couple household","1,482,230","49.8%","3,509","55.7%","4,180","44.0%","38,742","51.3%","15,128","49.7%","16,484","48.3%","99,825","52.9%","899","49.8%","20,848","48.3%","8,529","55.1%","1,379","45.6%","15,346","54.1%","624","61.8%","16,572","49.2%","13,736","46.5%","20,194","56.9%","7,829","49.4%","429,956","46.9%","57,104","53.9%","9,020","46.9%","4,797","49.9%","15,568","49.4%","2,670","58.9%","13,016","51.1%","8,538","50.2%","4,990","46.7%","2,883","50.3%","173,738","50.8%","4,507","52.1%","26,861","52.9%","2,606","54.2%","167,010","54.3%","99,917","46.8%","10,397","56.3%","59,073","51.1%","1,185","60.6%","11,402","49.6%","43,780","48.0%","7,021","39.1%","42,367","49.5%"
"            With children of the householder under 18 years","588,901","19.8%","1,679","26.6%","1,264","13.3%","15,458","20.5%","5,826","19.2%","3,814","11.2%","40,230","21.3%","218","12.1%","6,540","15.2%","3,553","23.0%","248","8.2%","7,339","25.9%","221","21.9%","7,154","21.2%","3,843","13.0%","6,047","17.0%","1,400","8.8%","186,185","20.3%","20,192","19.0%","3,176","16.5%","1,314","13.7%","5,104","16.2%","716","15.8%","3,690","14.5%","2,832","16.7%","1,143","10.7%","765","13.3%","71,514","20.9%","953","11.0%","8,903","17.5%","649","13.5%","72,673","23.6%","38,330","18.0%","2,784","15.1%","22,086","19.1%","280","14.3%","4,091","17.8%","16,215","17.8%","2,708","15.1%","17,764","20.8%"
"        Cohabiting couple household","251,755","8.5%","500","7.9%","876","9.2%","6,063","8.0%","2,395","7.9%","2,549","7.5%","15,585","8.3%","112","6.2%","4,271","9.9%","1,345","8.7%","209","6.9%","2,846","10.0%","22","2.2%","3,442","10.2%","2,616","8.9%","2,109","5.9%","1,036","6.5%","76,649","8.4%","8,007","7.6%","1,706","8.9%","708","7.4%","2,837","9.0%","270","6.0%","2,593","10.2%","1,269","7.5%","898","8.4%","457","8.0%","31,159","9.1%","635","7.3%","4,214","8.3%","313","6.5%","25,985","8.4%","17,685","8.3%","1,179","6.4%","9,912","8.6%","91","4.7%","1,425","6.2%","8,396","9.2%","1,532","8.5%","7,859","9.2%"
"            With children of the householder under 18 years","75,364","2.5%","349","5.5%","238","2.5%","2,736","3.6%","804","2.6%","901","2.6%","4,537","2.4%","37","2.1%","1,774","4.1%","545","3.5%","57","1.9%","1,760","6.2%","22","2.2%","1,805","5.4%","1,021","3.5%","599","1.7%","194","1.2%","14,009","1.5%","2,761","2.6%","228","1.2%","155","1.6%","1,092","3.5%","100","2.2%","877","3.4%","475","2.8%","353","3.3%","82","1.4%","11,139","3.3%","172","2.0%","1,722","3.4%","41","0.9%","8,071","2.6%","5,805","2.7%","505","2.7%","3,284","2.8%","6","0.3%","509","2.2%","1,902","2.1%","263","1.5%","4,434","5.2%"
"        Male householder, no spouse/partner present","540,118","18.1%","857","13.6%","1,731","18.2%","12,073","16.0%","5,144","16.9%","6,258","18.3%","29,617","15.7%","328","18.2%","7,716","17.9%","2,046","13.2%","627","20.7%","3,926","13.8%","175","17.3%","6,129","18.2%","5,716","19.3%","5,423","15.3%","2,746","17.3%","190,865","20.8%","18,771","17.7%","3,880","20.2%","1,935","20.1%","5,856","18.6%","687","15.2%","4,761","18.7%","3,346","19.7%","1,999","18.7%","1,051","18.3%","56,645","16.6%","1,455","16.8%","8,329","16.4%","897","18.6%","49,388","16.1%","39,387","18.4%","3,338","18.1%","18,109","15.7%","343","17.6%","3,556","15.5%","16,104","17.7%","5,057","28.2%","13,847","16.2%"
"            With children of the householder under 18 years","37,133","1.2%","46","0.7%","189","2.0%","1,114","1.5%","352","1.2%","371","1.1%","2,723","1.4%","54","3.0%","751","1.7%","206","1.3%","73","2.4%","430","1.5%","4","0.4%","517","1.5%","365","1.2%","360","1.0%","44","0.3%","9,152","1.0%","1,807","1.7%","201","1.0%","119","1.2%","452","1.4%","41","0.9%","275","1.1%","371","2.2%","278","2.6%","80","1.4%","4,961","1.5%","63","0.7%","454","0.9%","96","2.0%","3,634","1.2%","3,116","1.5%","108","0.6%","1,423","1.2%","0","0.0%","329","1.4%","1,110","1.2%","262","1.5%","1,202","1.4%"
"            Householder living alone","380,353","12.8%","652","10.3%","1,243","13.1%","8,921","11.8%","3,747","12.3%","4,845","14.2%","19,387","10.3%","204","11.3%","5,695","13.2%","1,353","8.7%","495","16.4%","2,447","8.6%","168","16.7%","4,193","12.5%","4,410","14.9%","4,144","11.7%","2,242","14.1%","139,518","15.2%","12,440","11.7%","2,400","12.5%","1,614","16.8%","3,862","12.3%","599","13.2%","3,267","12.8%","2,371","13.9%","1,457","13.6%","634","11.1%","38,150","11.2%","1,214","14.0%","6,126","12.1%","619","12.9%","32,284","10.5%","28,411","13.3%","2,576","13.9%","12,348","10.7%","277","14.2%","2,561","11.1%","10,820","11.9%","3,518","19.6%","9,141","10.7%"
"                65 years and over","107,345","3.6%","268","4.3%","477","5.0%","2,752","3.6%","1,359","4.5%","2,133","6.3%","5,901","3.1%","75","4.2%","2,206","5.1%","637","4.1%","338","11.2%","788","2.8%","107","10.6%","1,330","4.0%","1,879","6.4%","1,665","4.7%","1,224","7.7%","26,971","2.9%","4,110","3.9%","794","4.1%","754","7.8%","1,773","5.6%","243","5.4%","1,338","5.2%","1,105","6.5%","809","7.6%","296","5.2%","9,971","2.9%","541","6.3%","2,528","5.0%","290","6.0%","9,662","3.1%","9,383","4.4%","1,108","6.0%","3,673","3.2%","182","9.3%","950","4.1%","3,894","4.3%","560","3.1%","3,271","3.8%"
