"Label (Grouping)","Washington!!Estimate","Benton County, Washington!!Estimate","Chelan County, Washington!!Estimate","Clallam County, Washington!!Estimate","Clark County, Washington!!Estimate","Cowlitz County, Washington!!Estimate","Franklin County, Washington!!Estimate","Grant County, Washington!!Estimate","Grays Harbor County, Washington!!Estimate","Island County, Washington!!Estimate","King County, Washington!!Estimate","Kitsap County, Washington!!Estimate","Lewis County, Washington!!Estimate","Mason County, Washington!!Estimate","Pierce County, Washington!!Estimate","Skagit County, Washington!!Estimate","Snohomish County, Washington!!Estimate","Spokane County, Washington!!Estimate","Thurston County, Washington!!Estimate","Whatcom County, Washington!!Estimate","Yakima County, Washington!!Estimate"
"Total:","7,785,786","","","","","","","","","","2,266,789","","","","927,380","","840,079","","","",""
"    Afghan","5,081","","","","","","","","","","2,976","","","","207","","991","","","",""
"    Albanian","1,133","","","","","","","","","","530","","","","52","","240","","","",""
"    Alsatian","254","","","","","","","","","","55","","","","0","","116","","","",""
"    American","308,168","","","","","","","","","","58,325","","","","36,570","","24,223","","","",""
"    Arab:","41,831","","","","","","","","","","18,809","","","","4,464","","6,104","","","",""
"        Egyptian","7,180","","","","","","","","","","3,194","","","","783","","1,631","","","",""
"        Iraqi","6,564","","","","","","","","","","4,148","","","","757","","925","","","",""
"        Jordanian","1,398","","","","","","","","","","50","","","","0","","1,134","","","",""
"        Lebanese","7,612","","","","","","","","","","4,180","","","","602","","632","","","",""
"        Moroccan","2,287","","","","","","","","","","1,257","","","","167","","351","","","",""
"        Palestinian","3,390","","","","","","","","","","1,505","","","","652","","737","","","",""
"        Syrian","2,622","","","","","","","","","","1,503","","","","54","","350","","","",""
"        Arab","3,008","","","","","","","","","","1,747","","","","244","","0","","","",""
"        Other Arab","9,912","","","","","","","","","","1,802","","","","2,070","","767","","","",""
"    Armenian","10,584","","","","","","","","","","5,566","","","","806","","881","","","",""
"    Assyrian/Chaldean/Syriac","217","","","","","","","","","","0","","","","60","","0","","","",""
"    Australian","4,726","","","","","","","","","","2,196","","","","345","","612","","","",""
"    Austrian","16,277","","","","","","","","","","6,393","","","","617","","1,726","","","",""
"    Basque","4,330","","","","","","","","","","1,277","","","","360","","242","","","",""
"    Belgian","7,910","","","","","","","","","","2,326","","","","1,403","","1,021","","","",""
"    Brazilian","12,143","","","","","","","","","","7,158","","","","2,934","","1,435","","","",""
"    British","50,730","","","","","","","","","","17,785","","","","4,992","","4,451","","","",""
"    Bulgarian","3,638","","","","","","","","","","1,941","","","","120","","1,005","","","",""
"    Cajun","1,370","","","","","","","","","","280","","","","0","","0","","","",""
"    Canadian","26,415","","","","","","","","","","9,505","","","","3,451","","2,292","","","",""
"    Carpatho Rusyn","70","","","","","","","","","","48","","","","0","","0","","","",""
"    Celtic","2,033","","","","","","","","","","380","","","","188","","422","","","",""
"    Croatian","11,680","","","","","","","","","","3,342","","","","2,168","","1,165","","","",""
"    Cypriot","49","","","","","","","","","","49","","","","0","","0","","","",""
"    Czech","23,815","","","","","","","","","","9,850","","","","2,080","","2,421","","","",""
"    Czechoslovakian","4,475","","","","","","","","","","914","","","","391","","878","","","",""
"    Danish","58,250","","","","","","","","","","15,576","","","","6,744","","8,621","","","",""
"    Dutch","113,544","","","","","","","","","","22,329","","","","10,312","","14,831","","","",""
"    Eastern European","19,730","","","","","","","","","","8,417","","","","2,608","","775","","","",""
"    English","931,487","","","","","","","","","","244,657","","","","104,913","","105,189","","","",""
"    Estonian","1,058","","","","","","","","","","316","","","","53","","90","","","",""
"    European","247,896","","","","","","","","","","70,629","","","","30,352","","25,329","","","",""
