Districtname,PPE
Aberdeen School District,6191.511823669107169
Adna School District,14105.516929637525
Almira School District,8644.918222222222222
Anacortes School District,9780.410885010269712
Arlington School District,11709.846074477298642
Asotin-Anatone School District,10217.512830568125
Auburn School District,12466.964831059967
Bainbridge Island School District,9209.696837134969926
Battle Ground School District,9524.051414042908923
Bellevue School District,8950.404782157437899
Bellingham School District,7193.028113930606552
Benge School District,4257.828482142857143
Bethel School District,8163.918133420886546
Bickleton School District,21027.580507246377
Blaine School District,12499.847931445601
Boistfort School District,5512.12002849002849
Bremerton School District,8300.444655743573167
Brewster School District,7890.432296296296774
Bridgeport School District,6452.606644798496251
Brinnon School District,3248.416230088495575
Burlington-Edison School District,10240.93245848640698
Camas School District,9950.169722293867712
Cape Flattery School District,7735.924426279139873
Carbonado School District,15768.071442307692
Cascade School District,5312.906532296091584
CASHMERE SCHOOL DISTRICT,11765.532753888382
Castle Rock School District,11653.115433109958
Catalyst Public Schools,19469.929115044248
Centerville School District,6299.775709090909091
Centralia School District,9965.759956254050551
Central Kitsap School District,10324.752556145795561
Central Valley School District,7730.118627319324959
Chehalis School District,8786.038699200130359
Cheney School District,11169.620402574285157
Chewelah School District,6872.875717461098543
Chief Leschi Schools,43876.481124260355
Chimacum School District,6537.143599912835476
Clarkston School District,7244.150510442842534
Cle Elum-Roslyn School District,7511.855449584813049
Clover Park School District,7868.01304254501212
Colfax School District,10144.956233692569
College Place School District,11362.881948521588
Colton School District,10522.868106666667
Columbia (Stevens) School District,7276.153067484662577
Columbia (Walla Walla) School District,10018.724218857532
Colville School District,10062.603384183768
Concrete School District,7880.357179229477722
Conway School District,10942.262282157676
Cosmopolis School District,10344.824447115385
Coulee-Hartline School District,7590.116565096954755
Coupeville School District,10015.430195767196
Crescent School District,7554.745192307692308
Creston School District,8674.12650259067487
Curlew School District,11289.881153846155
Cusick School District,5732.877562277578292
Damman School District,6509.442826086956522
Darrington School District,9920.104598214285156
Davenport School District,8580.20106870228855
Dayton School District,9310.789102844641685
Deer Park School District,10687.812252175151
Dieringer School District,11356.916037352823
Dixie School District,7485.743865546218487
Eastmont School District,8965.323336420161353
Easton School District,4749.018168498168498
East Valley School District (Spokane),9248.365474705471934
East Valley School District (Yakima),12341.955531576557
Eatonville School District,5694.135402615278045
Edmonds School District,6454.589453436274176
Ellensburg School District,10073.505704218646605
Elma School District,9767.483100721897387
Endicott School District,9204.907905604719764
Entiat School District,6233.26968253968254
Enumclaw School District,8369.197605681433926
Ephrata School District,7634.382912158441313
Evaline School District,5104.538185328185328
Everett School District,9490.241067040364779
Evergreen School District (Clark),8154.602871856049503
Evergreen School District (Stevens),3708.41281914893617
Federal Way School District,8016.285919905155967
Ferndale School District,8743.112111804347292
Fife School District,14912.317074444927
Finley School District,8583.343967684021843
Franklin Pierce School District,12547.842225486904088
Freeman School District,9438.674376264332771
Garfield School District,4629.107487373741162
Glenwood School District,6792.461134751775414
Goldendale School District,20297.556847159235
Grand Coulee Dam School District,9610.530690150971963
Grandview School District,10172.769629268294676
Granger School District,9749.522065035200469
Granite Falls School District,11415.618101123592
Grapeview School District,11584.195014084507
Great Northern School District,4604.103173076923077
Green Mountain School District,9902.829352517985612
Griffin School District,20186.0505859375
Harrington School District,4482.091920838184517
Highland School District,6309.051801470586564
Highline School District,6974.294378532125188
Hockinson School District,17362.939797687857
Hood Canal School District,13560.497521815009
Hoquiam School District,7836.546164524422751
Impact | Commencement Bay Elementary,27047.29864321608
Impact | Puget Sound Elementary,49481.413723404255
Impact | Salish Sea Elementary,32054.794152046784
Inchelium School District,4550.633900226766062
Index Elementary School District 63,5533.332877358490566
Intergenerational High School,14613.080251572327
Issaquah School District,17590.374068102206
Kahlotus School District,12705.093063063063
Kalama School District,19044.732687265919
Keller School District,4733.906657381615599
Kelso School District,7793.729377493277391
Kennewick School District,7755.831300206714879
Kent School District,7713.302387783072454
Kettle Falls School District,7582.593948928415641
Kiona-Benton City School District,9960.401177184465615
Kittitas School District,7115.483048941805225
Klickitat School District,9041.465365853658537
La Center School District,15946.157233546885
La Conner School District,7408.408945044164132
LaCrosse School District,6136.071936758892292
Lake Chelan School District,8413.715231281196173
Lake Quinault School District,12980.846806282723
Lake Stevens School District,13408.212163742689
Lake Washington School District,7943.447082050976292
Lakewood School District,12986.59962781304
Lamont School District,4364.040536398467433
Liberty School District,10651.020629750274
Lind School District,6086.137177263966281
Longview School District,6730.077027475568166
Loon Lake School District,7867.306049661400677
Lopez School District,5511.012414355628059
Lumen Public School,9067.131628664495114
Lummi Tribal Agency,105782.965416666667
Lyle School District,7463.937430167588687
Lynden School District,10365.395012533653514
Mabton School District,9406.82494997056651
Mansfield School District,8174.646991869918699
Manson School District,5838.910810445746286
Mary M Knight School District,24065.732003338898
Marysville School District,7044.24300805729485
Mary Walker School District,6686.170251754033842
McCleary School District,12118.860218687873
Mead School District,12256.04559867047912
Medical Lake School District,8519.919864483343591
Mercer Island School District,13085.41822484100318
Meridian School District,10368.009014036288
Methow Valley School District,11920.315276468067
Mill A School District,7079.83985228951551
